name,description,price,brand,stock,colors,sizes,category,imagePath
LG 1.5 Ton 5-Star Inverter AC,1.5 Ton split AC with inverter compressor and Wi-Fi control.,45000,LG,12,"Silver, White","1.5 Ton, 2 Ton",Ac,D:\\uday\\e-commerce-with-fullstack\\assets\\Ac\\1.jpg
Samsung 1 Ton 4-Star Inverter AC,1 Ton split AC with energy-efficient inverter technology and smart features.,35000,Samsung,14,"Black, Grey","1 Ton, 1.5 Ton",Ac,D:\\uday\\e-commerce-with-fullstack\\assets\\Ac\\2.jpg
Daikin 2 Ton 5-Star Inverter AC,2 Ton split AC with copper condenser and advanced PM2.5 filter.,55000,Daikin,10,"Grey, Silver",2 Ton,Ac,D:\\uday\\e-commerce-with-fullstack\\assets\\Ac\\3.jpg
Carrier 1.5 Ton 3-Star AC,1.5 Ton window AC with auto restart and energy-saving mode.,30000,Carrier,8,"White, Blue",1.5 Ton,Ac,D:\\uday\\e-commerce-with-fullstack\\assets\\Ac\\4.jpg
Hitachi 1.2 Ton 5-Star Inverter AC,1.2 Ton split AC with frost wash technology and silent operation.,40000,Hitachi,11,"Blue, Silver",1.2 Ton,Ac,D:\\uday\\e-commerce-with-fullstack\\assets\\Ac\\5.jpg
Voltas 2 Ton 4-Star Inverter AC,2 Ton split AC with turbo cooling and smart remote control.,48000,Voltas,9,"Red, White",2 Ton,Ac,D:\\uday\\e-commerce-with-fullstack\\assets\\Ac\\6.jpg
Panasonic 1.5 Ton 5-Star Inverter AC,1.5 Ton split AC with nanoe-G technology for better air quality.,47000,Panasonic,7,"Green, Silver",1.5 Ton,Ac,D:\\uday\\e-commerce-with-fullstack\\assets\\Ac\\7.jpg
Blue Star 1 Ton 3-Star AC,1 Ton split AC with anti-corrosion coating and high cooling efficiency.,28000,Blue Star,13,"Yellow, White",1 Ton,Ac,D:\\uday\\e-commerce-with-fullstack\\assets\\Ac\\8.jpg
Godrej 1.5 Ton 4-Star Inverter AC,1.5 Ton split AC with 6-in-1 convertible modes for versatile cooling.,42000,Godrej,5,"Purple, Silver",1.5 Ton,Ac,D:\\uday\\e-commerce-with-fullstack\\assets\\Ac\\9.jpg
OGeneral 2 Ton 5-Star Inverter AC,2 Ton split AC with advanced air purification and energy-efficient design.,60000,OGeneral,4,"Brown, Grey",2 Ton,Ac,D:\\uday\\e-commerce-with-fullstack\\assets\\Ac\\10.jpg
Harry Potter and the Sorcerer's Stone,Fantasy novel about a young wizard's journey.,500,J.K. Rowling,20,"Red, Blue","Paperback, Hardcover",Books,D:\\uday\\e-commerce-with-fullstack\\assets\\Books\\1.jpg
The Great Gatsby,A classic novel set in the 1920s about love and wealth.,300,F. Scott Fitzgerald,15,"Green, Gold","Paperback, Hardcover",Books,D:\\uday\\e-commerce-with-fullstack\\assets\\Books\\2.jpg
To Kill a Mockingbird,A novel about racial injustice in the Deep South.,400,Harper Lee,10,"Black, White","Paperback, Hardcover",Books,D:\\uday\\e-commerce-with-fullstack\\assets\\Books\\3.jpg
