name,description
Ac,Air conditioners of various brands and capacities for home and office use.
Books,"A variety of books including novels, academic titles, and self-help guides."
Computers,"Desktops, laptops, accessories, and computer peripherals."
Fridge,Refrigerators from top brands for all household sizes and needs.
Furniture,"Beds, sofas, tables, and other furniture for home and office."
Kitchen,"Microwaves, blenders, and other essential kitchen appliances and tools."
Mens,"Men's clothing including shirts, pants, suits, and casual wear."
Mobiles,Smartphones and mobile accessories from various brands.
Speakers,"Bluetooth speakers, soundbars, and home audio systems."
TVs,"Smart TVs, LED TVs, and accessories from leading manufacturers."
Watches,Wristwatches for men and women including smartwatches and analog models.
Women,"Women's apparel including dresses, tops, and ethnic wear."
test,tesy
